,Residual
2018-12-13,-0.000710443896334902
2018-12-14,-0.0040747932056945935
2018-12-17,-0.000871120855684861
2018-12-18,0.004113085656779418
2018-12-19,0.0011310087876393888
2018-12-20,0.01029968107853926
2018-12-21,0.0027528835354106787
2018-12-24,0.0008040039707059819
2018-12-26,0.0004947043034665317
2018-12-27,0.007745094384011032
2018-12-28,0.0057066069660168355
2018-12-31,-0.0038712257166108287
2019-01-02,-0.006956409578049929
2019-01-03,0.003751798054655524
2019-01-04,0.0061568069338177635
2019-01-07,0.0050389163790546705
2019-01-08,-0.010168474728007762
2019-01-09,-8.1348385193733e-05
2019-01-10,-0.0024299693819551313
2019-01-11,0.000657190229207261
2019-01-14,-0.0025220065765685622
2019-01-15,-0.0009986430711261852
2019-01-16,-0.0008225037981724782
2019-01-17,-0.0020646991922370463
2019-01-18,-0.0004227522619169831
2019-01-22,9.699290706968039e-05
2019-01-23,0.003321452270841326
2019-01-24,0.0015878587886123344
2019-01-25,-0.002151397942452813
2019-01-28,-0.00013222289617579458
2019-01-29,0.005266080293060416
2019-01-30,-0.0024439990039894256
2019-01-31,0.0024572491792220503
2019-02-01,-0.0018414895168931125
2019-02-04,-0.0008816466736382067
2019-02-05,-0.003822370739357402
2019-02-06,-0.0013963191550233301
2019-02-07,-0.0019829470289626115
2019-02-08,0.005108313868477087
2019-02-11,0.00030118331398718695
2019-02-12,-0.003109863154648569
2019-02-13,0.002748619750513912
2019-02-14,0.00036239154120487095
2019-02-15,0.0010560960617908583
2019-02-19,0.0016894493604921058
2019-02-20,-0.003214722902659818
2019-02-21,-0.002835263069231003
2019-02-22,-0.00013755598498908957
2019-02-25,-0.0012385542072565411
2019-02-26,0.0012121849829560489
2019-02-27,-0.0003331587081609128
2019-02-28,-0.0011850496006780504
2019-03-01,-0.0027348324831449004
2019-03-04,0.004013484997847131
2019-03-05,0.0029472821078738044
2019-03-06,-0.002047013447182701
2019-03-07,-0.0017023012127284172
2019-03-08,0.0016415259205097392
2019-03-11,0.0035446496880330754
2019-03-12,-0.0012538626889484336
2019-03-13,-0.003003037869605621
2019-03-14,-0.0008438273921658294
2019-03-15,-0.002281137045141629
2019-03-18,-0.0013694613390108435
2019-03-19,-0.0006497595804361104
2019-03-20,0.002034717329645221
2019-03-21,0.002239430733883733
2019-03-22,-0.0009019586936749235
2019-03-25,0.004666906835480359
2019-03-26,0.0012765457051759303
2019-03-27,0.003619887757551451
2019-03-28,-0.0013153374389513065
2019-03-29,-0.002698149489195655
2019-04-01,-0.0018945907061347382
2019-04-02,0.0003573253119507286
2019-04-03,-0.003446397337567809
2019-04-04,-0.0008850376613230198
2019-04-05,-0.002318454931393812
2019-04-08,-0.0019557033511262076
2019-04-09,-0.00029065847089162784
2019-04-10,0.0015082935167128808
2019-04-11,-0.001753571213303013
2019-04-12,-0.0014718171050373758
2019-04-15,0.003400221600144384
2019-04-16,-0.0024531541133837416
2019-04-17,-0.000875525839461295
2019-04-18,-0.0009576839703279733
2019-04-22,-0.0006143761655888653
2019-04-23,-0.002546747825129582
2019-04-24,-0.00048775820605897937
2019-04-25,-0.0008055154000936784
2019-04-26,0.001444749206585754
2019-04-29,-0.0012358406645919476
2019-04-30,-0.002386455104658061
2019-05-01,0.00032826158986172527
2019-05-02,0.0018140939553949569
2019-05-03,0.0008160073436386311
2019-05-06,0.0003962475147423891
2019-05-07,0.007160416579457157
2019-05-08,0.004964015885413628
2019-05-09,-0.002115992891389205
2019-05-10,0.0034321077356627913
2019-05-13,0.00145501035904462
2019-05-14,0.009017213923521197
2019-05-15,-0.003843539382818074
2019-05-16,-0.003759175877949536
2019-05-17,-0.0014569410824470733
2019-05-20,0.0018034940732387858
2019-05-21,-0.00024204312425219615
2019-05-22,-0.0014670775192533857
2019-05-23,-0.002638520968438361
2019-05-24,0.0072121200896692605
2019-05-28,-0.0012845691082528851
2019-05-29,-0.001994965384954082
2019-05-30,0.0020112430378767983
2019-05-31,-0.0008491410846010574
2019-06-03,0.005357088116837532
2019-06-04,0.0006496347481354612
2019-06-05,0.00048267417777679913
2019-06-06,-0.0037779706372483837
2019-06-07,-0.0022936907940834797
2019-06-10,0.0011654830111221207
2019-06-11,0.0011009470863270338
2019-06-12,0.0006504381659989088
2019-06-13,-0.00420224767972553
2019-06-14,-0.0004380594785110929
2019-06-17,-0.0008188275228035707
2019-06-18,-0.0035180573496864133
2019-06-19,0.006192897336062498
2019-06-20,-0.0027174854918877306
2019-06-21,0.0036320015490680264
2019-06-24,-0.002662242144820615
2019-06-25,-0.0037362680912168007
2019-06-26,-0.0009404373842970158
2019-06-27,0.0008848832323054938
2019-06-28,-0.0007777468348194715
2019-07-01,-0.00035363483820053786
2019-07-02,0.006997132102597389
2019-07-03,-0.0034027545076157845
2019-07-05,-0.0032517939806122557
2019-07-08,0.001565316807644602
2019-07-09,0.0009951751687645241
2019-07-10,-0.002588322812553572
2019-07-11,0.0007831491630644026
2019-07-12,-0.0013737858316782868
2019-07-15,-0.0033089310047256324
2019-07-16,-0.0034570205148626125
2019-07-17,-0.00103703223230727
2019-07-18,-0.0001778402025784838
2019-07-19,0.0001655448034140793
2019-07-22,0.001967801518957666
2019-07-23,-0.001092782774207596
2019-07-24,-0.00012534949693660587
2019-07-25,-0.002261248680571811
2019-07-26,0.001094691118593687
2019-07-29,0.00020798346630139693
2019-07-30,-0.0019440420002606491
2019-07-31,0.000232796065726318
2019-08-01,0.004122376860679211
2019-08-02,0.007272200285610243
2019-08-05,0.0019555916212898507
2019-08-06,0.012562384011035044
