,Residuals
2018-12-13,-0.005073729662224149
2018-12-14,-0.003721482610746677
2018-12-17,0.0015433982194767715
2018-12-18,0.004098437615065334
2018-12-19,-0.0012407930004899228
2018-12-20,0.010867931701578876
2018-12-21,0.00021578076706230132
2018-12-24,0.0010998976224055497
2018-12-26,0.002102212356820083
2018-12-27,-0.003375039038143712
2018-12-28,0.004088155896840889
2018-12-31,-0.0007999643193537537
2019-01-02,-0.007410290108464904
2019-01-03,0.003388817868026703
2019-01-04,0.00476277627054494
2019-01-07,-0.005319844312161121
2019-01-08,-0.00483683376940823
2019-01-09,-0.00238235019713117
2019-01-10,0.0002184144728576724
2019-01-11,0.001120081793302332
2019-01-14,0.0003981425553723694
2019-01-15,0.00011775320935824164
2019-01-16,-0.0036191648276825104
2019-01-17,-0.0020240629956829884
2019-01-18,-0.002515389350336309
2019-01-22,-0.002463480275102966
2019-01-23,0.005195054535352909
2019-01-24,0.0010254920059473921
2019-01-25,-0.0013179832639318581
2019-01-28,-0.0017312912848635605
2019-01-29,0.007173610663669399
2019-01-30,-0.0019261188121658824
2019-01-31,-0.0020294397047895003
2019-02-01,-0.0010447377409713923
2019-02-04,6.777381500528562e-06
2019-02-05,-0.0032069324285246502
2019-02-06,-0.0015112140938919254
2019-02-07,-0.00034645327741441136
2019-02-08,0.005722247352232533
2019-02-11,-0.00010802557448409342
2019-02-12,-0.002729110040755438
2019-02-13,-0.0024250451449799393
2019-02-14,-0.0007530006088078299
2019-02-15,0.0031414255382058625
2019-02-19,-0.0026893915066103923
2019-02-20,-0.0013024029774352315
2019-02-21,-0.0008106219442052744
2019-02-22,0.0008126244116037724
2019-02-25,-0.0019390813931623885
2019-02-26,-0.0006043160425704911
2019-02-27,-0.0004273916408372154
2019-02-28,-0.00019760644091516193
2019-03-01,-0.0017602810757530838
2019-03-04,-0.0003841069814125987
2019-03-05,0.002166192461593111
2019-03-06,-0.0006915524431676989
2019-03-07,-0.00031440017405771903
2019-03-08,0.0022850649542370677
2019-03-11,0.0036375928492320374
2019-03-12,-0.005452454167314501
2019-03-13,-0.0019276957711268305
2019-03-14,-0.0018479779787051128
2019-03-15,-0.000982388882487281
2019-03-18,-0.0017494647734901392
2019-03-19,-0.0006175221223068562
2019-03-20,0.0006380265375756696
2019-03-21,0.0012349804989688238
2019-03-22,-0.0016375204241946203
2019-03-25,0.005732076992411227
2019-03-26,0.0006946836340739173
2019-03-27,-0.0015308455435185334
2019-03-28,0.0011475951661807258
2019-03-29,-0.0016395471198620178
2019-04-01,-0.0024841951369097724
2019-04-02,-0.0030518130490712544
2019-04-03,-0.00126092526182639
2019-04-04,-0.0005685559812603075
2019-04-05,-0.0014410880257560814
2019-04-08,-0.002046881268758757
2019-04-09,0.0009622053920798285
2019-04-10,0.0019669120362088253
2019-04-11,-0.0026811450917218517
2019-04-12,-0.0009562456132955286
2019-04-15,-0.0007263976152937159
2019-04-16,-0.001617981849649553
2019-04-17,-0.0011360221048985707
2019-04-18,-0.00035828551698969873
2019-04-22,-0.0007812025969623367
2019-04-23,-0.0019944379954821853
2019-04-24,-0.0024736302090255244
2019-04-25,-6.880419339232906e-05
2019-04-26,0.0014765134354430597
2019-04-29,-0.0021226131847066265
2019-04-30,-0.002161158995462287
2019-05-01,0.00034563741716680824
2019-05-02,0.0019622170087722794
2019-05-03,0.0007554462234709456
2019-05-06,-0.00294302531511582
2019-05-07,0.008349322204349991
2019-05-08,0.0047223604790727
2019-05-09,-0.0011101321536420737
2019-05-10,0.00504114462139936
2019-05-13,-0.001260810124485692
2019-05-14,0.008710805244495079
2019-05-15,-0.006587370540547421
2019-05-16,-0.003448750649190431
2019-05-17,-0.004152274101349563
2019-05-20,0.002720143007718801
2019-05-21,0.0009063449276553569
2019-05-22,-0.0044236430965087425
2019-05-23,-0.00026855461600030963
2019-05-24,0.008625660246997641
2019-05-28,-0.0031099172665153027
2019-05-29,-0.0008359168779378924
2019-05-30,0.003301676298167836
2019-05-31,-0.0024661465049851286
2019-06-03,0.00741922069613422
2019-06-04,-0.0005317178439255632
2019-06-05,-0.005502109505827502
2019-06-06,-0.0022187743697288063
2019-06-07,-0.0012383809972903023
2019-06-10,-0.0013360402771217992
2019-06-11,-0.0010412791734632169
2019-06-12,0.0007542972411189548
2019-06-13,-0.001645402283887909
2019-06-14,-0.0009026231294975151
2019-06-17,0.0008237460296294475
2019-06-18,-0.0026485117382116386
2019-06-19,-0.0013892134401622463
2019-06-20,-0.0018441499759950008
2019-06-21,0.0004506507226841828
2019-06-24,-0.0005743265123731782
2019-06-25,-0.0019378195998532334
2019-06-26,0.0013917904313397655
2019-06-27,-0.00041381028235791366
2019-06-28,-0.0020397655609272953
2019-07-01,-0.0018079836647143669
2019-07-02,0.00018662073944522876
2019-07-03,-0.0017062110678342816
2019-07-05,-0.0029550929968326757
2019-07-08,0.00380560406565176
2019-07-09,0.0016824119694396856
2019-07-10,-0.0013339657432530996
2019-07-11,-0.0014038973017043016
2019-07-12,-0.0016721966057839008
2019-07-15,-0.002887258000891597
2019-07-16,-0.0023195165529241724
2019-07-17,-0.0004900836981748939
2019-07-18,0.00027645240279158
2019-07-19,-0.0009150717713844051
2019-07-22,0.0014418577781182178
2019-07-23,-0.0020149759186026133
2019-07-24,-0.0020243427412426846
2019-07-25,-0.0019965201069575434
2019-07-26,0.0016334245010746259
2019-07-29,-0.002963582314640653
2019-07-30,-0.0007427745028957631
2019-07-31,0.001352068992009914
2019-08-01,0.004283683889988132
2019-08-02,0.006439908538695449
2019-08-05,0.0018365983433549678
2019-08-06,0.013348393184690145
2019-08-07,-0.004956896431728657
2019-08-08,0.005528405969144293
2019-08-09,-0.010399457710371986
2019-08-12,0.0014539509202736098
2019-08-13,0.0012417797238646906
2019-08-14,-0.00048747107476023767
2019-08-15,0.010237550468403963
2019-08-16,-0.0034359561277374504
2019-08-19,-0.0073480210856316525
2019-08-20,-0.002678823235326775
2019-08-21,0.0016189372434375071
2019-08-22,-0.003646851443035729
2019-08-23,0.002129075014208924
2019-08-26,0.009463298349481588
2019-08-27,-0.0026151422845545865
2019-08-28,-0.0006416382572711791
2019-08-29,-0.0023255722551053814
2019-08-30,-0.0017816568772500603
2019-09-03,-0.0007363462230441419
2019-09-04,0.004981353672790493
2019-09-05,-0.0032310717735280644
2019-09-06,-0.0024748922487529052
2019-09-09,-0.0022946736017977086
2019-09-10,-0.0009729070078497723
2019-09-11,0.0026734759391037017
2019-09-12,-0.003642539174379747
2019-09-13,0.0001860283569071284
2019-09-16,-0.0009870683505781475
2019-09-17,0.00029971398078740535
2019-09-18,-0.002599143468921601
2019-09-19,0.001953458757880204
2019-09-20,-0.0011183217481239849
2019-09-23,0.002268648094318971
2019-09-24,-0.0020514748188352958
2019-09-25,0.0036785802746089995
2019-09-26,-0.0027543492391897233
2019-09-27,-0.001080531940230318
2019-09-30,0.0025340477782313606
2019-10-01,-0.003210526037290445
2019-10-02,0.005138927247410899
2019-10-03,0.00625668778719176
2019-10-04,0.0034664805710632463
2019-10-07,-0.00627577057934937
2019-10-08,0.0006138456041915692
2019-10-09,0.004964224051996067
2019-10-10,-0.004275940549012423
