,Residual
2018-12-13,-0.0016766445013697302
2018-12-14,-0.005236338720755018
2018-12-17,-0.002335213959689721
2018-12-18,0.0024340554097467756
2018-12-19,-1.023115031471497e-06
2018-12-20,0.00885904333357609
2018-12-21,0.0029451178280370596
2018-12-24,0.0002212810237045247
2018-12-26,-0.0009148319241173535
2018-12-27,0.00673001517629266
2018-12-28,0.006177813347933835
2018-12-31,-0.003003549726744572
2019-01-02,-0.007442384873355181
2019-01-03,0.0031709815249643045
2019-01-04,0.004900685611305137
2019-01-07,0.005190200418075209
2019-01-08,-0.010437021592398135
2019-01-09,0.000660110112747761
2019-01-10,-0.004651813541021808
2019-01-11,-0.0006776744169891043
2019-01-14,-0.003861978595764119
2019-01-15,-0.0016816741160266026
2019-01-16,-0.0014517975305175825
2019-01-17,-0.002633009922396329
2019-01-18,-0.0005408048488300919
2019-01-22,-0.0002196497833802727
2019-01-23,0.0029753853749689713
2019-01-24,0.001172677978816478
2019-01-25,-0.00256289630278864
2019-01-28,-5.185907121222494e-05
2019-01-29,0.004865424390138262
2019-01-30,-0.002962123554570404
2019-01-31,0.002265120126046601
2019-02-01,-0.002438884519735062
2019-02-04,-0.001227339643496853
2019-02-05,-0.004144195774273803
2019-02-06,-0.0012748420950033602
2019-02-07,-0.002115678656635522
2019-02-08,0.0049118723261198805
2019-02-11,-1.3358312734433608e-05
2019-02-12,-0.003355666190444258
2019-02-13,0.003171913311257244
2019-02-14,-0.00022978945220309376
2019-02-15,0.000643817718798791
2019-02-19,0.0013687344620846465
2019-02-20,-0.0034973471734267916
2019-02-21,-0.0024685883330888446
2019-02-22,-6.600200592009504e-05
2019-02-25,-0.00173118566500257
2019-02-26,0.001039653750718233
2019-02-27,-0.0006760167321024297
2019-02-28,-0.0013655482975417016
2019-03-01,-0.0028009154077493163
2019-03-04,0.00402499055693393
2019-03-05,0.002445219612075932
2019-03-06,-0.002395681061344669
2019-03-07,-0.001561111779094136
2019-03-08,0.0016466277055734828
2019-03-11,0.0029626350118496132
2019-03-12,-0.0016679133387999942
2019-03-13,-0.0030233830769093835
2019-03-14,-0.0004849915981342094
2019-03-15,-0.0026668536026443757
2019-03-18,-0.001403528187467703
2019-03-19,-0.0008620154457715749
2019-03-20,0.0017355052725017712
2019-03-21,0.0018089110412839596
2019-03-22,-0.0012047763661659971
2019-03-25,0.004643860327048924
2019-03-26,0.0010635005439584792
2019-03-27,0.0031829903679607106
2019-03-28,-0.001913781111012273
2019-03-29,-0.0029758354220107298
2019-04-01,-0.0018100266163596527
2019-04-02,3.112725188522073e-05
2019-04-03,-0.003911867703747752
2019-04-04,-0.0006567961096555679
2019-04-05,-0.0025461176660811404
2019-04-08,-0.0020557143571238654
