Date,Open,High,Low,Close,,
2020-03-02 13:15,3028.2,3029.37,3017.3,3019.22,,
2020-03-02 13:00,3037.7,3039.58,3025.6,3028.14,,
2020-03-02 12:45,3029.37,3038.72,3029.37,3036.6,,
2020-03-02 12:30,3023.91,3036.12,3023.44,3029.2,,
2020-03-02 12:15,3029.98,3030.3,3015.63,3023.9,,
2020-03-02 12:00,3036.05,3040.48,3026.68,3029.85,,
2020-03-02 11:45,3024.13,3038.65,3019.68,3035.9,,
2020-03-02 11:30,3016.56,3026.6,3010.85,3023.74,,
2020-03-02 11:15,3010.21,3019.36,3005.46,3015.58,,
2020-03-02 11:00,2984.97,3010.83,2982.33,3009.95,,
2020-03-02 10:45,2979.9,2999.77,2979.9,2985.51,,
2020-03-02 10:30,2963.39,2981.33,2952.52,2979.74,,
2020-03-02 10:15,2968.31,2969.05,2948.63,2963.19,,
2020-03-02 10:00,2964.51,2969.49,2945.19,2967.64,,
2020-03-02 9:45,2971.06,2984.7,2963.85,2964.76,,
2020-03-02 9:30,2974.28,2990.62,2959.84,2970.7,,
2020-02-28 16:00,2955.42,2955.42,2954.05,2954.22,,
2020-02-28 15:45,2881.29,2956.69,2881.29,2956.69,,
2020-02-28 15:30,2888.4,2905.38,2881,2881.37,,
2020-02-28 15:15,2905.96,2925.1,2889,2889,,
2020-02-28 15:00,2916.52,2919.81,2895.3,2906.11,,
2020-02-28 14:45,2938.53,2941.29,2910.78,2916.28,,
2020-02-28 14:30,2901.93,2939.4,2899.8,2938.47,,
2020-02-28 14:15,2892.5,2909.64,2888.75,2901.74,,
2020-02-28 14:00,2901.68,2901.94,2880.89,2892.64,,
2020-02-28 13:45,2896.96,2903.63,2888.95,2902.14,,
2020-02-28 13:30,2927.31,2927.43,2897.1,2897.12,,
2020-02-28 13:15,2926.04,2943.54,2924.2,2928.34,,
2020-02-28 13:00,2945,2950.35,2926.33,2926.36,,
2020-02-28 12:45,2932.25,2946.39,2918.32,2944.91,,
2020-02-28 12:30,2929.32,2944.58,2928.33,2932.1,,
2020-02-28 12:15,2911.77,2929.37,2904.94,2929.16,,
2020-02-28 12:00,2916.43,2920.36,2900.6,2911.66,,
2020-02-28 11:45,2950.58,2950.58,2906.94,2917.1,,
2020-02-28 11:30,2913.47,2959.72,2910.8,2951.15,,
2020-02-28 11:15,2890.91,2912.77,2889.83,2912.77,,
2020-02-28 11:00,2899.33,2901.19,2875.84,2891.27,,
2020-02-28 10:45,2872.98,2904.01,2871.28,2899.9,,
2020-02-28 10:30,2864.16,2887.45,2863.69,2873.02,,
2020-02-28 10:15,2868.34,2892.97,2864.77,2864.92,,
2020-02-28 10:00,2876.01,2879.77,2855.84,2868.65,,
2020-02-28 9:45,2905.18,2911.12,2868.17,2876.26,,
2020-02-28 9:30,2916.9,2929.95,2884.84,2906.98,,
2020-02-27 16:00,2978.3,2978.76,2978.3,2978.76,,
2020-02-27 15:45,3009.32,3017.48,2977.39,2977.39,,
2020-02-27 15:30,3023.43,3026.46,3009.42,3009.65,,
2020-02-27 15:15,3037.75,3039.28,3023.5,3023.5,,
2020-02-27 15:00,3033.22,3043.49,3023.05,3037.5,,
2020-02-27 14:45,3046.8,3046.95,3032.07,3033.2,,
2020-02-27 14:30,3050.71,3050.71,3039.97,3047.21,,
